Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
Berchem-Sainte-Agathe,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Gent,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Bruxelles,299000,APARTMENT,GROUND_FLOOR,3,140,0,0,0,1,None,1,23,None,2,0,GOOD,For Sale
Ixelles,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Ganshoren,265000,APARTMENT,PENTHOUSE,2,96,1,0,0,1,10,0,None,None,2,0,JUST_RENOVATED,For Sale
Zwijnaarde,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Nazareth,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Ixelles,420000,APARTMENT,APARTMENT,1,73,1,0,0,0,None,0,None,None,2,0,AS_NEW,For Sale
BERCHEM,249000,APARTMENT,APARTMENT,2,100,0,0,0,1,8,0,None,None,None,0,GOOD,For Sale
Deinze,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Lierde,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Zottegem,None,HOUSE_GROUP,HOUSE_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Uccle,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Destelbergen,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Gent Sint-Denijs-Westrem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Auderghem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
DEURNE,235000,APARTMENT,APARTMENT,2,90,0,0,0,1,3,0,None,None,2,0,GOOD,For Sale
Sint-Martens-Latem,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
BERCHEM,275000,APARTMENT,APARTMENT,2,80,0,0,0,1,18,0,None,None,2,0,JUST_RENOVATED,For Sale
